SPKID	Age	Gender	Dialect
14_3466	18	female	he bei
14_3664	40	female	guang dong
14_3694	23	male	guang dong
14_3698	23	male	guang dong
14_3700	28	female	guang dong
14_3702	20	female	guang dong
14_3704	21	female	guang dong
14_3730	20	male	guang dong
14_3751	23	female	shan dong
14_3783	24	female	shan dong
14_3789	23	female	he nan
14_3790	26	female	he bei
14_3794	27	female	shan xi
14_3796	21	female	fu jian
14_3797	22	female	shan dong
14_3804	18	female	hu bei
14_3815	24	male	guang dong
14_3816	20	female	hu bei
14_3824	22	male	jiang xi
14_3828	26	female	jiang su
14_3843	19	male	an hui
14_3850	20	female	an hui
14_3855	19	male	an hui
14_3856	18	female	si chuan
14_3858	18	female	an hui
14_3860	20	male	an hui
14_3862	20	male	an hui
14_3863	19	male	an hui
14_3865	21	female	an hui
14_3866	39	female	an hui
14_3867	20	male	an hui
14_3869	20	female	an hui
14_3870	21	male	an hui
14_3871	21	male	an hui
14_3873	20	male	an hui
14_3876	20	female	an hui
14_3877	21	female	an hui
14_3878	21	female	an hui
14_3879	20	female	an hui
14_3884	19	female	an hui
14_3887	21	male	an hui
14_3889	19	female	an hui
14_3890	19	female	an hui
14_3891	21	female	an hui
14_3892	19	male	an hui
14_3894	20	female	an hui
14_3897	22	female	an hui
14_3900	19	female	an hui
14_3903	20	female	an hui
14_3904	19	female	an hui
14_3905	20	female	an hui
14_3907	20	male	an hui
14_3909	22	male	an hui
14_3910	19	male	bei jing
14_3911	20	female	an hui
14_3914	20	female	an hui
14_3916	20	female	shan dong
14_3917	22	male	jiang xi
14_3919	20	female	an hui
14_3922	20	male	an hui
14_3925	21	male	zhe jiang
14_3927	20	female	an hui
14_3931	21	female	an hui
14_3932	19	female	an hui
14_3933	20	male	an hui
14_3935	22	male	hei long jiang
14_3939	20	female	an hui
14_3941	20	female	an hui
14_3945	21	female	an hui
14_3946	27	female	an hui
14_3947	20	male	an hui
14_3948	21	female	an hui
14_3949	16	female	an hui
14_3951	22	female	an hui
14_3955	19	male	an hui
14_3956	22	female	an hui
14_3958	20	male	an hui
14_3965	24	male	an hui
14_3971	22	female	an hui
14_3972	20	female	an hui
14_3976	19	male	an hui
14_3981	19	male	an hui
14_3985	20	male	an hui
14_3989	21	male	an hui
14_3991	20	female	an hui
14_3993	20	female	guang dong
14_3994	19	female	jiang xi
14_4001	22	female	an hui
14_4006	20	female	an hui
14_4017	20	female	an hui
14_4019	22	female	an hui
14_4020	22	male	zhe jiang
14_4022	18	female	he nan
14_4027	19	male	an hui
14_4028	20	female	an hui
14_4029	20	female	an hui
14_4030	23	male	an hui
14_4031	23	male	an hui
14_4032	20	male	an hui
14_4041	18	female	an hui
14_4044	21	male	guang dong
14_4047	19	female	an hui
14_4048	22	female	an hui
14_4054	23	female	an hui
14_4056	16	female	an hui
14_4058	17	female	an hui
14_4069	19	female	he nan
14_4072	19	male	an hui
14_4073	19	female	he nan
14_4077	18	female	hu nan
14_4082	20	female	an hui
14_4084	21	female	an hui
14_4087	20	female	an hui
14_4091	25	male	hu nan
14_4099	20	female	an hui
14_4100	20	female	an hui
14_4106	19	male	an hui
14_4109	20	female	an hui
14_4112	30	male	an hui
14_4114	19	female	an hui
14_4116	18	female	an hui
14_4117	20	male	shan dong
14_4120	21	female	an hui
14_4127	30	male	he nan
14_4130	27	male	zhe jiang
14_4139	23	female	gui zhou
14_4140	30	female	jiang xi
14_4141	33	female	he bei
14_4151	27	male	he bei
14_4152	20	female	hu bei
14_4161	25	male	jiang xi
14_4162	19	female	guang xi
14_4168	17	female	he nan
14_4170	22	female	an hui
14_4171	18	female	an hui
14_4175	19	male	he nan
14_4176	21	female	an hui
14_4186	33	male	he bei
14_4191	26	female	he bei
14_4194	26	female	zhe jiang
14_4208	25	female	shan xi
14_4215	26	female	he bei
14_4226	18	female	zhe jiang
14_4230	18	male	he nan
14_4233	17	male	he bei
14_4239	17	female	he bei
14_4249	17	female	he nan
14_4253	17	female	jiang su
14_4263	30	female	he nan
14_4271	20	female	an hui
14_4279	22	male	an hui
14_4280	22	male	an hui
14_4282	21	female	an hui
14_4288	22	female	an hui
14_4289	17	female	hei long jiang
14_4290	16	female	shan xi
14_4293	24	male	zhe jiang
14_4299	23	male	zhe jiang
14_4304	19	female	an hui
14_4312	24	male	zhe jiang
14_4314	24	male	zhe jiang
14_4320	22	female	an hui
14_4321	19	male	an hui
14_4322	19	female	he nan
14_4325	19	female	an hui
14_4330	21	male	an hui
14_4341	19	male	an hui
14_4345	19	male	shang hai
14_4349	25	male	zhe jiang
14_4352	19	female	an hui
14_4357	15	female	shan xi
14_4358	21	male	an hui
14_4362	21	female	shan dong
14_4363	18	female	an hui
14_4364	24	female	an hui
14_4458	20	female	an hui
14_4461	23	male	shan dong
14_4474	19	male	an hui
14_4497	16	female	an hui
14_4571	19	male	an hui
14_4572	20	male	an hui
14_4579	20	female	an hui
14_4580	20	female	an hui
14_4582	21	female	an hui
14_4585	19	male	shang hai
14_4589	24	female	guang dong
14_4592	19	male	shang hai
14_4605	21	female	an hui
14_4618	25	female	shang hai
14_4623	20	female	an hui
14_4627	21	female	an hui
14_4636	16	female	an hui
14_4642	23	male	guang dong
14_4643	21	female	an hui
14_4644	21	female	an hui
14_4650	21	female	an hui
14_4673	21	female	an hui
14_4688	22	female	an hui
14_4689	22	female	an hui
14_4691	21	female	an hui
14_4697	19	female	an hui
14_4777	22	male	zhe jiang
14_4798	21	female	an hui
14_4802	21	male	he bei
14_4803	21	male	shan xi
14_4806	22	male	shan dong
14_4811	21	male	guang xi
14_4838	23	male	guang dong
14_4845	19	male	liao ning
15_3621	17	male	guang dong
15_3622	18	male	guang dong
15_3626	17	male	guang dong
15_3730	20	male	guang dong
15_4429	20	male	shan dong
15_4448	19	female	guang dong
15_4455	16	male	fu jian
15_4471	20	male	he nan
15_4483	18	female	si chuan
15_4487	23	male	chong qing
15_4489	21	male	he nan
15_4500	20	male	he nan
15_4503	20	male	guang dong
15_4505	27	male	gui zhou
15_4508	20	male	he bei
